location,size,total_sqft,bath,price,bhk,price_per_sqft
LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,3,406.25
Vajarahalli,2 BHK,945.0,2.0,54.0,2,571.4285714285714
Hormavu,2 BHK,1500.0,2.0,78.0,2,520.0
Vishwapriya Layout,7 Bedroom,950.0,7.0,115.0,7,1210.5263157894738
Peenya,3 BHK,1870.0,3.0,110.0,3,588.2352941176471
Sarjapur,3 Bedroom,1600.0,3.0,75.0,3,468.75
Electronic City,2 BHK,880.0,1.0,16.5,2,187.5
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,210.0,4,1750.0
Kudlu Gate,3 BHK,1535.0,3.0,83.0,3,540.7166123778502
Kanakpura Road,2 BHK,950.0,2.0,57.0,2,600.0
Devanahalli,2 BHK,1360.0,2.0,65.0,2,477.94117647058823
8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,503.0740568234746
Bommasandra Industrial Area,3 BHK,1280.0,3.0,50.4,3,393.75
Chandra Layout,3 BHK,1260.0,2.0,85.05,3,675.0
Hennur Road,8 Bedroom,5000.0,8.0,250.0,8,500.0
Yelahanka,5 BHK,3050.0,5.0,213.0,5,698.360655737705
Kasavanhalli,3 BHK,1563.05,3.0,105.0,3,671.7635392341896
ISRO Layout,2 BHK,1000.0,2.0,60.0,2,600.0
Anandapura,2 BHK,1167.0,2.0,43.76,2,374.9785775492716
Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,7,562.5
Kothanur,3 BHK,1828.0,3.0,110.0,3,601.7505470459519
Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2,393.2584269662921
Basavanapura,3 BHK,1612.0,3.0,46.74,3,289.9503722084367
Dinnur,6 Bedroom,1034.0,5.0,185.0,6,1789.1682785299806
Mysore Road,3 BHK,1710.0,4.0,91.31,3,533.9766081871345
Kannamangala,2 BHK,957.0,2.0,58.0,2,606.060606060606
 Devarachikkanahalli,3 BHK,1250.0,2.0,44.0,3,352.0
Sanjeevini Nagar,3 BHK,2795.0,4.0,235.0,3,840.7871198568873
Hulimavu,2 BHK,1125.0,2.0,50.0,2,444.44444444444446
Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2,300.0
Kalena Agrahara,2 BHK,1200.0,2.0,50.0,2,416.6666666666667
Thanisandra,3 BHK,1735.0,3.0,135.0,3,778.0979827089337
Thanisandra,3 BHK,2050.0,3.0,145.0,3,707.3170731707318
Mahalakshmi Layout,4 Bedroom,3750.0,4.0,760.0,4,2026.6666666666667
Yarandahalli,3 BHK,1350.0,2.0,48.0,3,355.55555555555554
Hosa Road,2 BHK,1063.0,2.0,32.0,2,301.0348071495767
Keshava Nagar,3 BHK,1904.0,3.0,150.0,3,787.8151260504202
Whitefield,4 Bedroom,4200.0,4.0,420.0,4,1000.0
RMV Extension,3 BHK,2000.0,3.0,175.0,3,875.0
Sarjapur,2 BHK,1242.5,2.0,43.49,2,350.0201207243461
Tejaswini Nagar,3 BHK,1425.0,2.0,75.0,3,526.3157894736842
Electronic City,3 BHK,1500.0,2.0,64.5,3,430.0
Electronic City,2 BHK,1060.0,2.0,60.0,2,566.0377358490566
Jai Bheema Nagar,3 BHK,1470.0,2.0,70.0,3,476.1904761904762
Kothnur Narayanapura,6 BHK,1300.0,6.0,99.0,6,761.5384615384615
Attibele,1 BHK,450.0,1.0,11.0,1,244.44444444444446
Electronic City,2 BHK,1152.0,2.0,64.5,2,559.8958333333334
Electronic City,3 BHK,1350.0,2.0,56.0,3,414.81481481481484
CV Raman Nagar,3 BHK,1550.0,3.0,65.0,3,419.35483870967744
CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,100.0,3,666.6666666666666
Kumaraswami Layout,5 Bedroom,600.0,3.0,85.0,5,1416.6666666666667
Nagavara,1 Bedroom,400.0,1.0,14.0,1,350.0
Malleshwaram,1 BHK,705.0,1.0,67.0,1,950.354609929078
Electronic City,2 BHK,770.0,1.0,36.0,2,467.53246753246754
Hulimavu,2 BHK,1242.0,2.0,51.0,2,410.6280193236715
Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3,911.7647058823529
Thanisandra,3 BHK,2144.0,3.0,145.0,3,676.3059701492538
Vijayanagar,3 BHK,1704.0,3.0,110.0,3,645.5399061032864
Electronic City,2 BHK,1070.0,2.0,52.0,2,485.98130841121497
8th block Koramangala,3 Bedroom,1846.0,3.0,300.0,3,1625.1354279523293
Jakkuru Layout,2 BHK,1340.0,2.0,55.7,2,415.67164179104475
Electronic City,2 BHK,1025.0,2.0,46.0,2,448.780487804878
KR Puram,2 BHK,1277.5,2.0,56.8,2,444.6183953033268
Marathahalli,2 BHK,1200.0,2.0,52.0,2,433.3333333333333
Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,4,488.8888888888889
Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3,516.1290322580645
Bellandur,4 Bedroom,1200.0,5.0,325.0,4,2708.3333333333335
Ejipura,7 Bedroom,1800.0,7.0,250.0,7,1388.888888888889
Marathahalli,2 BHK,1200.0,2.0,60.0,2,500.0
Yelahanka,2 BHK,1327.0,2.0,98.0,2,738.5079125847777
Kothanur,2 BHK,1186.0,2.0,58.0,2,489.03878583473863
MS Pallya,3 Bedroom,1783.0,3.0,115.0,3,644.9803701626472
HSR Layout,3 BHK,1400.0,3.0,56.0,3,400.0
Nagasandra,2 BHK,980.0,2.0,48.0,2,489.7959183673469
EPIP Zone,2 BHK,1285.0,2.0,82.0,2,638.1322957198444
Langford Town,3 BHK,912.0,2.0,70.0,3,767.5438596491229
Whitefield,2 BHK,1225.0,2.0,47.6,2,388.57142857142856
Whitefield,2 BHK,1075.0,2.0,53.0,2,493.0232558139535
Kadugodi,3 BHK,1260.0,2.0,54.0,3,428.57142857142856
Yelahanka,3 BHK,1282.0,2.0,48.7,3,379.8751950078003
Kogilu,3 BHK,1909.0,3.0,88.0,3,460.9743321110529
Panathur,2 BHK,1359.0,2.0,87.0,2,640.1766004415011
Nagondanahalli,2 BHK,1207.0,2.0,43.5,2,360.3976801988401
Padmanabhanagar,4 Bedroom,1736.0,6.0,190.0,4,1094.4700460829492
1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,1501.7543859649122
Kammasandra,3 BHK,1595.0,3.0,65.0,3,407.52351097178683
"Off Sarjapur Road, ",3 BHK,1798.0,3.0,89.0,3,494.9944382647386
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3,530.7796610169493
Tala Cauvery Layout,3 BHK,1580.0,3.0,100.0,3,632.9113924050633
Dasarahalli,2 BHK,1295.0,2.0,65.0,2,501.9305019305019
Magadi Road,6 Bedroom,3600.0,6.0,141.0,6,391.6666666666667
Electronic City,1 BHK,589.0,1.0,27.0,1,458.40407470288625
Ngef Layout,3 BHK,1415.0,3.0,78.0,3,551.2367491166078
Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3,550.0279798545048
Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3,699.4963626189144
Koramangala,3 BHK,1475.0,2.0,90.0,3,610.1694915254237
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,75.5,4,377.5
Sarjapur  Road,2 BHK,984.0,2.0,44.28,2,450.0
Muthurayya Swamy Layout,3 BHK,2405.0,4.0,260.0,3,1081.081081081081
7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,666.6666666666666
Shantiniketan Layout,2 Bedroom,1500.0,2.0,115.0,2,766.6666666666666
Hebbal,3 BHK,1900.0,3.0,119.0,3,626.3157894736842
Dommasandra,2 BHK,805.0,2.0,22.14,2,275.03105590062114
Budigere,2 BHK,1153.0,2.0,56.4,2,489.15871639202084
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,60.0,2,522.6480836236934
Mylasandra,2 BHK,1110.0,2.0,55.0,2,495.4954954954955
Electronic City,2 BHK,1100.0,2.0,42.0,2,381.8181818181818
Kalyan nagar,2 BHK,1290.0,2.0,110.0,2,852.7131782945736
Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,65.0,3,433.3333333333333
Bank Of Baroda Colony,2 BHK,1080.0,2.0,39.0,2,361.1111111111111
Vijayanagar,3 BHK,1933.0,3.0,129.0,3,667.3564407656493
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,5,428.57142857142856
Kullappa Colony,2 BHK,1060.0,2.0,60.0,2,566.0377358490566
Chandapura,1 BHK,645.0,1.0,16.45,1,255.03875968992247
Mukkutam Nagar,8 Bedroom,2600.0,8.0,180.0,8,692.3076923076923
Chandapura,1 BHK,645.0,1.0,16.45,1,255.03875968992247
Ashwath Nagar,3 BHK,1644.0,3.0,84.0,3,510.94890510948903
Ncpr Industrial Layout,2 BHK,1285.0,2.0,72.5,2,564.2023346303502
Electronic City,3 Bedroom,1200.0,3.0,90.0,3,750.0
Electronic City,2 BHK,910.0,2.0,40.0,2,439.56043956043953
Kothanur,3 BHK,1577.0,3.0,70.0,3,443.8807863031072
Meenakunte,3 Bedroom,4050.0,3.0,280.0,3,691.358024691358
OMBR Layout,3 BHK,2420.0,3.0,185.0,3,764.4628099173553
Chandapura,2 BHK,800.0,1.0,20.0,2,250.0
Anand Nagar,2 BHK,1060.0,2.0,55.0,2,518.8679245283018
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,732.2834645669292
Shree Ananth Nagar Layout,2 BHK,900.0,2.0,22.5,2,250.0
Kundalahalli Colony,2 Bedroom,1280.0,2.0,69.0,2,539.0625
Horamavu Agara,4 Bedroom,1200.0,2.0,95.0,4,791.6666666666666
Sarjapur  Road,2 BHK,1025.0,2.0,36.0,2,351.219512195122
Electronic City,2 BHK,1108.0,2.0,63.0,2,568.5920577617328
MCECHS  layout,5 Bedroom,1200.0,5.0,170.0,5,1416.6666666666667
Coffee Board Layout,3 BHK,3045.0,3.0,170.0,3,558.2922824302135
Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,4,1034.4827586206898
Vijayanagar,3 BHK,1500.0,3.0,75.5,3,503.3333333333333
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2,338.996138996139
Budigere,2 BHK,1162.0,2.0,59.9,2,515.4905335628227
Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2,475.3623188405797
Attibele,4 Bedroom,1600.0,4.0,52.8,4,330.0
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,46.0,3,314.20765027322403
Hennur Road,3 BHK,1866.0,2.0,61.58,3,330.01071811361203
Geleyara Balaga Layout,2 BHK,700.0,1.0,26.0,2,371.42857142857144
Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3,665.1884700665189
Sarjapur,2 BHK,913.0,2.0,32.0,2,350.49288061336256
Talaghattapura,3 BHK,1868.0,3.0,131.0,3,701.2847965738758
Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2,509.62627406568515
Sundara Nagar,2 Bedroom,900.0,2.0,110.0,2,1222.2222222222222
Kogilu,3 BHK,1664.0,2.0,73.95,3,444.4110576923077
Hegde Nagar,3 BHK,2026.0,3.0,132.0,3,651.5301085883515
Balagere,2 BHK,1210.0,2.0,80.9,2,668.595041322314
Meenakunte,4 Bedroom,4111.0,4.0,250.0,4,608.1245439065921
Kadugodi,3 BHK,1762.0,3.0,91.45,3,519.0124858115778
Jigani,3 BHK,1252.0,3.0,55.0,3,439.297124600639
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2,400.69686411149826
7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,704.2253521126761
Srirampura,6 Bedroom,1450.0,6.0,250.0,6,1724.1379310344828
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3,528.8590604026846
Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3,427.90697674418607
Old Madras Road,3 BHK,1425.0,2.0,94.0,3,659.6491228070175
Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2,333.3333333333333
Kaggadasapura,3 BHK,1280.0,2.0,56.0,3,437.5
Silver Springs Layout,2 BHK,1084.0,2.0,50.0,2,461.2546125461255
Chandapura,2 BHK,1015.0,2.0,25.88,2,254.97536945812809
Kanakpura Road,2 BHK,1017.0,2.0,51.25,2,503.9331366764995
Haralur Road,2 BHK,1027.0,2.0,44.0,2,428.43232716650436
Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2,420.9541627689429
Hebbal,2 BHK,1349.0,2.0,98.2,2,727.9466271312083
9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,497.5124378109453
Jakkur,2 BHK,1417.0,2.0,75.0,2,529.287226534933
TC Palaya,3 Bedroom,1475.0,3.0,98.0,3,664.4067796610169
Maruthi Sevanagar,2 BHK,950.0,2.0,47.0,2,494.7368421052632
RMV 2nd Stage,4 BHK,2000.0,4.0,120.0,4,600.0
Giri Nagar,3 Bedroom,880.0,3.0,140.0,3,1590.909090909091
Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4,558.2393988191089
Singasandra,2 BHK,1010.0,2.0,29.5,2,292.0792079207921
Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3,491.2280701754386
Vijayanagar,3 BHK,1450.0,3.0,100.0,3,689.6551724137931
Kothanur,3 BHK,1847.0,3.0,105.0,3,568.489442338928
AECS Layout,2 BHK,1100.0,2.0,45.0,2,409.09090909090907
Kanakpura Road,1 BHK,525.0,1.0,26.0,1,495.23809523809524
Mallasandra,3 BHK,1665.0,3.0,95.0,3,570.5705705705706
Begur,4 BHK,1664.0,4.0,65.0,4,390.625
JP Nagar,3 BHK,1850.0,3.0,150.0,3,810.8108108108108
Panathur,2 BHK,1438.0,2.0,100.0,2,695.4102920723227
Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,115.0,3,737.1794871794872
Yelahanka,2 BHK,1350.0,2.0,55.55,2,411.48148148148147
Kanakpura Road,3 BHK,1550.0,3.0,67.0,3,432.258064516129
Malleshpalya,2 BHK,1140.0,2.0,46.5,2,407.89473684210526
Srirampura,5 Bedroom,1200.0,5.0,180.0,5,1500.0
Kodathi,2 BHK,850.0,2.0,27.0,2,317.6470588235294
Whitefield,2 BHK,1280.0,2.0,75.0,2,585.9375
Munnekollal,2 BHK,1170.0,2.0,52.0,2,444.44444444444446
Motappa Layout,2 BHK,1113.0,2.0,51.0,2,458.2210242587601
Hennur Road,2 BHK,1385.0,2.0,83.09,2,599.9277978339351
Electronic City,2 BHK,1128.0,2.0,65.0,2,576.2411347517731
Marathahalli,2 Bedroom,1200.0,2.0,128.0,2,1066.6666666666667
Akshaya Vana,4 Bedroom,1200.0,4.0,165.0,4,1375.0
Rajaji Nagar,3 BHK,2390.0,3.0,415.0,3,1736.4016736401675
Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4,1666.6666666666667
Haralur Road,3 BHK,1464.0,3.0,56.0,3,382.5136612021858
Manayata Tech Park,2 BHK,1200.0,2.0,55.0,2,458.3333333333333
Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2,433.3333333333333
Kaggalipura,3 BHK,1150.0,2.0,55.0,3,478.2608695652174
Basavanna Nagar,3 BHK,1645.0,3.0,95.0,3,577.5075987841946
Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2,670.0
Haralur Road,4 Bedroom,2650.0,4.0,198.0,4,747.1698113207547
6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,620.8053691275168
Ulsoor,3 BHK,2135.0,3.0,215.0,3,1007.0257611241218
Whitefield,2 BHK,1173.0,2.0,58.0,2,494.45865302642795
Uttarahalli,2 BHK,1020.0,2.0,45.0,2,441.1764705882353
Thigalarapalya,4 BHK,3122.0,6.0,230.0,4,736.7072389493915
Somasundara Palya,3 BHK,1600.0,3.0,64.0,3,400.0
T.C PALYA,2 Bedroom,1200.0,2.0,79.0,2,658.3333333333334
Muneshwara Nagar,2 BHK,1230.0,2.0,48.0,2,390.2439024390244
 Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,320.0
Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2,573.5849056603773
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,810.8108108108108
Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2,541.6666666666666
Bull Temple Road,3 Bedroom,1350.0,2.0,140.0,3,1037.037037037037
Bommasandra,3 BHK,1260.0,3.0,49.36,3,391.74603174603175
Prashanth Nagar,3 BHK,1800.0,3.0,150.0,3,833.3333333333334
Suragajakkanahalli,3 Bedroom,11.0,3.0,74.0,3,67272.72727272728
Ardendale,2 BHK,1100.0,2.0,43.25,2,393.1818181818182
Harlur,2 BHK,1508.0,2.0,77.0,2,510.61007957559684
Sampigehalli,3 BHK,1592.0,3.0,75.0,3,471.10552763819095
Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,410.6628242074928
Electronic City Phase II,1 BHK,630.0,1.0,28.35,1,450.0
RMV,3 Bedroom,2000.0,3.0,365.0,3,1825.0
Banashankari3rd stage bigbazar,3 BHK,1762.0,3.0,125.0,3,709.4211123723042
Bagalur Main Road,2 BHK,950.0,2.0,50.0,2,526.3157894736842
Kodihalli,4 BHK,3252.0,5.0,335.0,4,1030.1353013530136
Magadi Road,2 BHK,1116.0,2.0,50.0,2,448.02867383512546
Narayanapura,2 BHK,1308.0,2.0,89.04,2,680.7339449541286
MS Pallya,3 BHK,1200.0,3.0,90.0,3,750.0
Binny Mills Employees Colony,4 Bedroom,1500.0,4.0,230.0,4,1533.3333333333333
Bannerghatta Road,1 BHK,500.0,1.0,18.5,1,370.0
Hennur,2 BHK,1075.0,2.0,52.0,2,483.72093023255815
Chandapura,1 BHK,530.0,1.0,11.66,1,220.0
Bellandur,2 BHK,1205.0,2.0,66.0,2,547.7178423236514
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,558.1395348837209
KR Puram,2 BHK,930.0,2.0,39.0,2,419.35483870967744
Balagere,2 BHK,1380.0,2.0,60.0,2,434.7826086956522
Hebbal,4 BHK,2483.0,5.0,212.0,4,853.8058799838905
Kodigehaali,2 BHK,1166.0,2.0,55.0,2,471.6981132075472
Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2,619.047619047619
Gopalapura,3 BHK,2023.71,3.0,275.0,3,1358.8903548433323
Begur Road,2 BHK,1200.0,2.0,46.8,2,390.0
Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3,675.0
Billekahalli,3 BHK,1935.0,3.0,110.0,3,568.4754521963824
8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,662.9711751662971
Electronic City,3 BHK,1800.0,3.0,95.0,3,527.7777777777778
